,text,topic
0,"Stephen king originally wrote this book to add more depth to the original story. He claims that these additions are like the bread crumbs in Hansel and Gretel and the glass slipper in Cinderella. I'm not sure exactly what he added because I never read the original cut version, but there were definetly parts of the story that could have been done without. According to the introduction, the Trashcan man's memorable journey across the desert seen through his freaky eyes was added, and the scene with Frannie and her mother. Not that these scenes weren't interesting, I just think that some of these little additions are more like someone taking a dump on the original story than magical, enchanting excerpts that added so much to the story. Sometimes I found myself thinking ""Was it really necessary to add that?""Apparently it was. Do you want to know what it's like to have a loaded gun shoved up your butt? This story takes the time to explain it.I loved parts of this mammoth of a book. My favorite character was Larry Underwood. It kept my attention for a long time and I found that I was still thinking about it after I finished reading it, which is a sign of a good book.The main complaint I have is that the characters spent so long getting where they were supposed to go that the apocalyptic end battle seemed weak and hurried in comparision. Also, Stephen King is not a very impartial god and he let the two most annoying characters live on, with divine intervention while almost everyone else got blown to hell. It really annoyed me.I thought, like his other book ""IT"" he couldn't manage to live up to the pages and pages of suspense and intricate plot twists that he spent so long building, and so the ending was anticlimatic.But-If you like long books then this is definetly something to check out because it is interesting and well thought out for the most part. It is also very, very entertaining, after all, getting there is half the fun right? These characters just spend a really long time getting there.",book
1,"Very satisfied after speaking with Manager, Peter Lee. He listened and appreciated our feedback. Thank you for making sure we were taken care of.",restaurant
2,"I have to say that ""The Subtle Knife"" is another fantastic novel by Mr. Pullman in the ""His Dark Materials"" series. I couldn't put the book down and found the plot thoroughly entertaining and engrossing as it shifted from character to character, motive to motive, saga to saga. There was always a reason to continue reading as surprises and astounding revelations sharpened my focus and always kept me guessing. I can't wait to move on to the next book ""The Amber Spyglass"" as Mr. Pullman has done a splendid job crafting his first two books of the series (The Golden Compass, The Subtle Knife) and has earned another loyal fan through his efforts.",book
3,"This satire is just really, really dead-on, and nobody is spared. But even though this movie has plenty of laughs within the silly story and the grotesque imitation of Hitler (here cleverly renamed as ""Hynkel"", and speaking in a hilarious kind of pseudo-German), the general tone is pretty sad, maybe because of the movie's place in history. And the actors aren't even exaggerating that much I suppose. One of the greatest movie moments of all time must be the Jewish barber's ending speech, if only things could have ended in that way. It's not even really the character talking anymore, it's Chaplin saying something he really wanted to say. If you ignore the technical aspects, the movie doesn't feel dated or old, it actually moves at a pretty nice pace. And the sharp humor we find everywhere in this work will never die, the only thing I don't care for is the slapstick, but that just comes with the era I suppose. This is an incredibly daring, harsh take on fascism, it's so hard-hitting still after all these years.",movie
4,This book has a great story and concept but its biggest weakness is its character depth. And this to me made all the difference in the world. If Lynch was able to bring the characters more alive I would have given this book 5 stars. It's got every other aspect to make it such a good book but the lack of feelings for the character is overwhelming. E.G. Lynch isn't afraid of killing off characters which is excellent-no writer should be afraid of this. But he'd kill a character and I'd just shrug because I never really felt a whole lot for the character to begin with. And he even kills off major characters so you'd think this would be even more significant. But it wasn't any different from when a minor character died to the major ones.,book
5,"This is a masterpiece, well written, extremely well organized contemporary style book. It is often compared to The Catcher in the Rye, while I think that the angst in this book isn't so apparent.For anyone who has suffered through a mental disorder or knows someone else who has, this is a must read as it is very articulate in how it describes the process of slipping into depression.",book
6,"Food is ok, but if your order is messed up, as ours was, they will not credit your card. They insist on giving you credit for next visit. There will be no other time",restaurant
7,"I got Mirror Mirror mainly because Yvonne De Carlo was in it (I thought she was great in American Gothic) but sadly she didn't have a very big role in this film. It starts off OK and the pace moves along nicely...but by the end it starts getting a bit tedious and dull. That's not to say that this is a boring film, but it's just very average and nothing spectacular. I didn't like the ""posession"" side of it and there were no decent gore scenes. Plus the 'main' story was very confusing and the ending doesn't make much sense at all. I did however like the story surrounding the Gothic girl and how she got revenge on her tormentors.<br /><br />I wouldn't particularly recommend Mirror Mirror to horror fans - it's nothing to wet yourself over.",movie
8,"YUM! Just checked out this new spot today. Super fun ambiance, very kind staff, and delicious food and drinks! We went with the viet Tex martini and banh mi burgers x2. First off, what a GREAT cocktail! I absolutely loved the extra spice. I got sriracha and jalapeños on the side to add to my burger. They had great house sriracha. They were placing great music, I was dancing in my chair the whole time. The staff went out of there way to really be kind, coming by and asking if we needed anything at all and then another man coming by and asking us if the music volume was good for us. I would definitely recommend this place, we will be back!!",restaurant
9,"I found this book so satisfying, as there are really few well written books that are about horses or indeed about racing. And the style of the book, the way the many characters come & go, well, that is a lot the way racing is, too. Lots of everything, & you can't quite say with certainty what will happen tomorrow, who will come & go--lots of variables. I thought the people were wonderfully drawn, ie Rosalind, Joy, Dick, the youngsters with ""abilities"" to ""see"", & on & on. I wished the book were 4 times longer. I just couldn't get enuf of it. Really really appreciated Smiley's expertise on the horses, as well as the understanding of the track, AND her dextrous way of talkin'.",book
